docid,entityid,type
0,Early Phase Clinical Trial,Topic
0,Phase I Trials,Topic
0,Cytotoxic Agents,Topic
0,Bayesian Early Phase Trial Designs,Topic
0,Peter F. Thall,Author
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper
1,Tianyu Zhan,Author
1,Yiwang Zhou,Author
1,Ziqian Geng,Author
1,Yihua Gu,Author
1,Jian Kang,Author
1,Li Wang,Author
1,Xiaohong Huang,Author
1,Elizabeth H. Slate,Author
2,Pilot Studies Of Structured Treatment Interruptions (Sti) In Hiv Therapy,Topic
2,Hiv Therapy,Topic
2,Virologic Failure,Topic
2,Novel Hypothesis,Topic
2,Mathematical Model Of Hiv Within-Host Viral Dynamics,Topic
2,Nonlinear Parametric Resonance,Topic
2,Clinical Trial Data,Topic
2,Patient-Specific Resonant Spectra,Topic
2,Heterogeneity Of Patient Response,Topic
2,Immunologic And Virologic Parameters,Topic
2,Romulus Breban,Author
2,Sally Blower,Author
3,Preventive Vaccines,Topic
3,Hiv,Topic
3,Immune Response Markers,Topic
3,Two-Phase Sampling,Topic
3,Nonparametric Methodology,Topic
3,Txshift R Package,Topic
3,Nima S. Hejazi,Author
3,Mark J. Van Der Laan,Author
3,Holly E. Janes,Author
3,Peter B. Gilbert,Author
3,David C. Benkeser,Author
4,Phase 1-2 Designs,Topic
4,Generalized Phase 1-2 Design,Topic
4,Biological Outcome,Topic
4,Therapeutically Optimal Dose,Topic
4,Demo,Paper
5,Align,Topic
5,Nabeel Seedat,Author
5,Caterina Tozzi,Author
5,Andrea Hita Ardiaca,Author
5,Mihaela Van Der Schaar,Author
5,James Weatherall,Author
5,Adam Taylor,Author
5,Large Language Models,Topic
5,Anatomical Therapeutic Chemical,Topic
5,Medical Dictionary For Regulatory Activities,Topic
5,Clinical Trial Data,Topic
5,Drug Development,Topic
6,Ross M. Kedl,Author
6,Sars-Cov2 And Variants Of Concern,Topic
6,Moderna Phase Iii Clinical Trial,Topic
6,Longitudinal Evaluation Of T And B Cell Immunity,Topic
6,Covid-19 Vaccine Trial,Topic
6,An Immunological Autobiography,Paper
7,Sleep Monitoring Algorithm,Topic
7,Hao He,Author
7,Chao Li,Author
7,Wolfgang Ganglberger,Author
7,Kaileigh Gallagher,Author
7,Rumen Hristov,Author
7,Michail Ouroutzoglou,Author
7,Haoqi Sun,Author
7,Jimeng Sun,Author
7,Brandon Westover,Author
7,Dina Katabi,Author
8,Vaccine Efficacy Estimands,Topic
8,Mats Stensrud,Author
8,Daniel Nevo,Author
8,Uri Obolski,Author
8,Influenza Vaccine Trial,Topic
9,Panacea,Topic
9,Trialalign,Topic
9,Trialinstruct,Topic
9,Trialpanorama,Topic
9,Jiacheng Lin,Author
9,Hanwen Xu,Author
9,Zifeng Wang,Author
9,Sheng Wang,Author
9,Jimeng Sun,Author
10,Immune Correlates Of Protection,Topic
10,Correlates Of Risk,Topic
10,Controlled Vaccine Efficacy Curve,Topic
10,Controlled-Risk Curve,Topic
10,50% Neutralizing Antibody Titer,Topic
10,Virologically Confirmed Dengue,Topic
10,Peter B. Gilbert,Author
10,Youyi Fong,Author
10,Marco Carone,Author
10,Cyd14,Paper
10,Cyd15,Paper
11,Trial2Vec,Topic
11,Zifeng Wang,Author
11,Jimeng Sun,Author
11,Clinical Trials,Topic
11,Umls Knowledge Base,Topic
12,Clinical Trials,Topic
12,Drug Development,Topic
12,Trial Outcome Prediction,Topic
12,Spot,Paper
13,Drug Discovery And Development,Topic
13,Clinical Trials,Topic
13,Clinical Trial Outcome (Cto) Dataset,Paper
13,Chufan Gao,Author
13,Jathurshan Pradeepkumar,Author
13,Trisha Das,Author
13,Shivashankar Thati,Author
13,Jimeng Sun,Author
14,Matrix-Valued Time-Series Data Clustering,Topic
14,Low-Dimensional Embedding,Topic
14,Static Clinical Covariates,Topic
14,High-Dimensional Longitudinal Features,Topic
14,Sparse And Irregular Nature Of Sample Collection,Topic
14,Smoothed Probabilistic Parafac Model With Covariates (Spaco),Paper
15,World Health Organization,Topic
15,Hiv Treatment Monitoring,Topic
15,Viral Load Testing,Topic
15,Diagnostic Algorithm,Topic
15,Miriam Hospital Immunology Clinic,Topic
15,Tao Liu,Author
15,Joseph W. Hogan,Author
15,Lisa Wang,Author
15,Shangxuan Zhang,Author
15,Rami Kantor,Author
16,Clinical Trials,Topic
16,Nlp,Topic
16,Eligibility Classification,Topic
16,Phase 3 Cancer Trials,Topic
16,Phase 1 And 2 Cancer Trials,Topic
16,Heart Disease Trials,Topic
16,Type 2 Diabetes Trials,Topic
16,Observational Trials,Topic
16,Yumeng Yang,Author
16,Ashley Gilliam,Author
16,Ethan B Ludmir,Author
16,Kirk Roberts,Author
16,Annotated Eligibility Criteria Dataset,Topic
17,Trialsynth,Topic
17,Chufan Gao,Author
17,Mandis Beigi,Author
17,Afrah Shafquat,Author
17,Jacob Aptekar,Author
17,Jimeng Sun,Author
18,Natural Language Processing (Nlp) Of Clinical Trial Documents,Topic
18,Ct-Bert,Topic
18,Xiong Liu,Author
18,Greg L. Hersch,Author
18,Iya Khalil,Author
18,Murthy Devarakonda,Author
18,Clinical Trial Nlp,Topic
18,Named Entity Recognition (Ner) Models,Topic
18,Attention-Based Bilstm,Topic
18,Criteria2Query,Topic
19,Ctp-Llm,Topic
19,Phasetransition Dataset,Topic
19,Michael Reinisch,Author
19,Jianfeng He,Author
19,Chenxi Liao,Author
19,Sauleh Ahmad Siddiqui,Author
19,Bei Xiao,Author
19,Clinical Trial Outcome Prediction (Ctop),Topic
20,Machine Learning,Topic
20,Clinical Domain,Topic
20,Data Scarcity,Topic
20,Ethical Considerations,Topic
20,Clinical Trials,Topic
20,Privacy Regulations,Topic
20,High Costs,Topic
20,Extended Duration,Topic
20,Large Language Models,Topic
20,Retrieval-Reasoning Few-Shot Framework,Topic
20,Synthetic Clinical Trials,Topic
20,Binary Success/Failure Labels,Topic
20,Clinicaltrials.Gov,Topic
20,Synthetic Data,Topic
20,Pre-Trained Model,Topic
20,Binary Classifier,Topic
20,Trial Outcome Prediction,Topic
20,Zerui Xu,Author
20,Fang Wu,Author
20,Yuanyuan Zhang,Author
20,Yue Zhao,Author
20,Https://Anonymous.4Open.Science/R/Retrieval_Reasoning_Clinical_Trial_Generation-3Ec4,Paper
21,Clinical Trials,Topic
21,Drug Development,Topic
21,Phase I,Topic
21,Phase Ii,Topic
21,Phase Iii,Topic
21,Phase Iv,Topic
21,Challenges In Clinical Trials,Topic
21,Innovative Technologies,Topic
21,Emerging Therapies,Topic
21,Regulatory Reforms,Topic
21,Global Collaboration,Topic
21,From Bench To Bedside: A Review Of Clinical Trials In Drug Discovery And Development,Paper
21,Tianyang Wang,Author
21,Ming Liu,Author
21,Benji Peng,Author
21,Xinyuan Song,Author
21,Charles Zhang,Author
21,Xintian Sun,Author
21,Qian Niu,Author
21,Junyu Liu,Author
21,Silin Chen,Author
21,Keyu Chen,Author
21,Ming Li,Author
21,Pohsun Feng,Author
21,Ziqian Bi,Author
21,Yunze Wang,Author
21,Yichao Zhang,Author
21,Cheng Fei,Author
21,Lawrence Kq Yan,Author
22,Bayesian Adaptive Designs,Topic
22,Clinical Trials,Topic
22,Covid-19 Pandemic,Topic
22,Shirin Golchi,Author
22,Designing Bayesian Adaptive Trials,Topic
22,Efficient Estimation And Uncertainty Quantification,Topic
22,Sampling Distribution Of Bayesian Probability Statements,Topic
22,Ordinal Disease-Progression Scale Endpoint,Topic
22,Design Operating Characteristics,Topic
23,Artificial Intelligence For In Silico Clinical Trials: A Review,Paper
23,Zifeng Wang,Author
23,Chufan Gao,Author
23,Lucas M. Glass,Author
23,Jimeng Sun,Author
23,Clinical Simulation,Topic
23,Individualized Predictive Modeling,Topic
23,Computer-Aided Trial Design,Topic
24,Clinical Trial Outcome Prediction,Topic
24,Language Interaction Network (Lint),Topic
24,Chufan Gao,Author
24,Tianfan Fu,Author
24,Jimeng Sun,Author
24,Biologics,Topic
24,Small-Molecule Drugs,Topic
24,Roc-Auc Scores,Topic
24,Clinical Trials,Topic
24,Drug Portfolio,Topic
25,Rats,Topic
25,Random Dot Motion Task,Topic
25,Stimulus Integration,Topic
25,Trial Difficulty,Topic
25,Reward-Related Parameters,Topic
25,Pamela Reinagel,Author
25,Emily Mankin,Author
25,Adam Calhoun,Author
26,A Latent Gaussian Process Model With Application To Monitoring Clinical Trials,Paper
26,Yanxun Xu,Author
26,Yuan Ji,Author
26,Bayesian Trial Monitoring Scheme,Topic
26,Latent Gaussian Process,Topic
26,Clinical Trials,Topic
26,Repeated Outcomes,Topic
26,Binary Outcomes,Topic
26,Posterior Inference,Topic
26,Monte Carlo Algorithm,Topic
26,Simulation Studies,Topic
26,Case Study,Topic
27,Clinical Trial Site Matching With Improved Diversity Using Fair Policy Learning,Paper
27,Clinical Trials,Topic
27,Diversity And Inclusion,Topic
28,Ongoing Vaccine And Monoclonal Antibody Hiv Prevention Efficacy Trials And Considerations For Sequel Efficacy Trial Designs,Paper
28,Hvtn 702,Topic
28,Hvtn 705,Topic
28,Hvtn 703/Hptn 081,Topic
28,Hvtn 704/Hptn 085,Topic
28,Hiv-1 Infection,Topic
28,Sequel Efficacy Trials,Topic
28,Correlates Of Protection,Topic
