docid,entityid,type
0,Retrieval-Augmented Generation (Rag),Topic
0,Graphrag,Topic
0,Question Answering,Topic
0,Query-Based Summarization,Topic
0,Haoyu Han,Author
0,Harry Shomer,Author
0,Yu Wang,Author
0,Yongjia Lei,Author
0,Kai Guo,Author
0,Zhigang Hua,Author
0,Bo Long,Author
0,Hui Liu,Author
0,Jiliang Tang,Author
1,Graphrag-Fi,Topic
1,Graphrag,Topic
1,Large Language Models,Topic
1,Natural Language Processing,Topic
1,Kai Guo,Author
1,Harry Shomer,Author
1,Shenglai Zeng,Author
1,Haoyu Han,Author
1,Yu Wang,Author
1,Jiliang Tang,Author
1,Graphrag-Filtering,Topic
1,Graphrag-Integration,Topic
1,Knowledge Graph Qa Tasks,Topic
1,Reasoning Performance,Topic
1,External Knowledge,Topic
1,Intrinsic Reasoning,Topic
2,Graphrag,Topic
2,Gragpoison,Topic
2,Jiacheng Liang,Author
2,Yuhui Wang,Author
2,Changjiang Li,Author
2,Rongyi Zhu,Author
2,Tanqiu Jiang,Author
2,Neil Gong,Author
2,Ting Wang,Author
3,Large Language Models (Llms),Topic
3,Retrieval-Augmented Generation (Rag),Topic
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
3,Qinggang Zhang,Author
3,Shengyuan Chen,Author
3,Yuanchen Bei,Author
3,Zheng Yuan,Author
3,Huachi Zhou,Author
3,Zijin Hong,Author
3,Junnan Dong,Author
3,Hao Chen,Author
3,Yi Chang,Author
3,Xiao Huang,Author
3,Https://Github.Com/Deep-Polyu/Awesome-Graphrag,Topic
4,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper
4,Hairong Zhang,Author
4,Jiaheng Si,Author
4,Guohang Yan,Author
4,Boyuan Qi,Author
4,Pinlong Cai,Author
4,Song Mao,Author
4,Ding Wang,Author
4,Botian Shi,Author
4,Mine Dataset,Topic
5,Gfm-Rag,Topic
5,Retrieval-Augmented Generation,Topic
5,Graphrag,Topic
5,Linhao Luo,Author
5,Zicheng Zhao,Author
5,Gholamreza Haffari,Author
5,Dinh Phung,Author
5,Chen Gong,Author
5,Shirui Pan,Author
6,Retrieval-Augmented Generation (Rag),Topic
6,Query-Focused Summarization (Qfs),Topic
6,Graphrag,Topic
6,Context-Aware Fine-Grained Graph Rag (Fg-Rag),Topic
6,Context-Aware Entity Expansion,Topic
6,Query-Level Fine-Grained Summarization,Topic
6,Yubin Hong,Author
6,Chaofan Li,Author
6,Jingyi Zhang,Author
6,Yingxia Shao,Author
6,Https://Github.Com/Buptwululu/Fg-Rag,Paper
7,Large Language Models,Topic
7,Retrieval-Augmented Generation,Topic
7,Graphrag,Topic
7,Knowledge Graphs,Topic
7,Graphraft,Topic
7,Alfred Clemedtson,Author
7,Borun Shi,Author
8,Retrieval-Augmented Generation,Topic
8,Large Language Models,Topic
8,Graphrag,Topic
8,Graph-Based Indexing,Topic
8,Graph-Guided Retrieval,Topic
8,Graph-Enhanced Generation,Topic
8,Boci Peng,Author
8,Yun Zhu,Author
8,Yongchao Liu,Author
8,Xiaohe Bo,Author
8,Haizhou Shi,Author
8,Chuntao Hong,Author
8,Yan Zhang,Author
8,Siliang Tang,Author
8,Graphrag-Survey,Paper
9,Retrieval-Augmented Generation (Rag),Topic
9,Graphrag,Topic
9,Haoyu Han,Author
9,Yu Wang,Author
9,Harry Shomer,Author
9,Kai Guo,Author
9,Jiayuan Ding,Author
9,Yongjia Lei,Author
9,Mahantesh Halappanavar,Author
9,Ryan A. Rossi,Author
9,Subhabrata Mukherjee,Author
9,Xianfeng Tang,Author
9,Qi He,Author
9,Zhigang Hua,Author
9,Bo Long,Author
9,Tong Zhao,Author
9,Neil Shah,Author
9,Amin Javari,Author
9,Yinglong Xia,Author
9,Jiliang Tang,Author
9,Https://Github.Com/Graph-Rag/Graphrag/,Topic
10,Graphrag,Topic
10,Lego-Graphrag,Topic
10,Yukun Cao,Author
10,Zengyi Gao,Author
10,Zhiyang Li,Author
10,Xike Xie,Author
10,Kevin Zhou,Author
10,Jianliang Xu,Author
10,Large Language Models,Topic
10,Reasoning Accuracy,Topic
10,Contextual Relevance,Topic
10,Databases,Topic
10,Natural Language Processing,Topic
10,Modular Workflow Analysis,Topic
10,Systematic Solution Frameworks,Topic
10,Empirical Studies,Topic
10,Reasoning Quality,Topic
10,Runtime Efficiency,Topic
10,Token Or Gpu Cost,Topic
10,Advanced Graphrag Systems,Topic
11,Graph Retrieval-Augmented Generation (Graphrag),Topic
11,Large Language Models (Llms),Topic
11,Knowledge Graphs (Kgs),Topic
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation (Kg-Irag),Paper
11,Weatherqa-Irish,Topic
