docid,title,abstract,url,authors
0,Bayesian Models and Decision Algorithms for Complex Early Phase Clinical Trials,"An early phase clinical trial is the first step in evaluating the effects inhumans of a potential new anti-disease agent or combination of agents. Usuallycalled ""phase I"" or ""phase I/II"" trials, these experiments typically have thenominal scientific goal of determining an acceptable dose, most often based onadverse event probabilities. This arose from a tradition of phase I trials toevaluate cytotoxic agents for treating cancer, although some methods may beapplied in other medical settings, such as treatment of stroke or immunologicaldiseases. Most modern statistical designs for early phase trials includemodel-based, outcome-adaptive decision rules that choose doses for successivepatient cohorts based on data from previous patients in the trial. Such designshave seen limited use in clinical practice, however, due to their complexity,the requirement of intensive, computer-based data monitoring, and the medicalcommunity's resistance to change. Still, many actual applications ofmodel-based outcome-adaptive designs have been remarkably successful in termsof both patient benefit and scientific outcome. In this paper I will reviewseveral Bayesian early phase trial designs that were tailored to accommodatespecific complexities of the treatment regime and patient outcomes inparticular clinical settings.",http://arxiv.org/abs/1011.6494v1,Peter F. Thall
1,Deep Historical Borrowing Framework to Prospectively and Simultaneously Synthesize Control Information in Confirmatory Clinical Trials with Multiple Endpoints,"In current clinical trial development, historical information is receivingmore attention as it provides utility beyond sample size calculation.Meta-analytic-predictive (MAP) priors and robust MAP priors have been proposedfor prospectively borrowing historical data on a single endpoint. Tosimultaneously synthesize control information from multiple endpoints inconfirmatory clinical trials, we propose to approximate posterior probabilitiesfrom a Bayesian hierarchical model and estimate critical values by deeplearning to construct pre-specified strategies for hypothesis testing. Thisfeature is important to ensure study integrity by establishing prospectivedecision functions before the trial conduct. Simulations are performed to showthat our method properly controls family-wise error rate (FWER) and preservespower as compared with a typical practice of choosing constant critical valuesgiven a subset of null space. Satisfactory performance under prior-dataconflict is also demonstrated. We further illustrate our method using a casestudy in Immunology.",http://arxiv.org/abs/2008.12774v2,"Tianyu Zhan,Yiwang Zhou,Ziqian Geng,Yihua Gu,Jian Kang,Li Wang,Xiaohong Huang,Elizabeth H. Slate"
2,Parametric Resonance May Explain Virologic Failure to HIV Treatment Interruptions,"Pilot studies of structured treatment interruptions (STI) in HIV therapy haveshown that patients can maintain low viral loads whilst benefiting from reducedtreatment toxicity. However, a recent STI clinical trial reported a high degreeof virologic failure. Here we present a novel hypothesis that could explainvirologic failure to STI and provides new insights of great clinical relevance.We analyze a classic mathematical model of HIV within-host viral dynamics andfind that nonlinear parametric resonance occurs when STI are added to themodel; resonance is observed as virologic failure. We use the model to simulateclinical trial data and to calculate patient-specific resonant spectra. We gaintwo important insights. Firstly, within an STI trial, we determine thatpatients who begin with similar viral loads can be expected to show extremelydifferent virologic responses as a result of resonance. Thus, highheterogeneity of patient response within a STI clinical trial is to beexpected. Secondly and more importantly, we determine that virologic failure isnot simply due to STI or patient characteristics; rather it is the result of acomplex dynamic interaction between STI and patient viral dynamics. Hence, ouranalyses demonstrate that no universal regimen with periodic interruptions willbe effective for all patients. On the basis of our results, we suggest thatimmunologic and virologic parameters should be used to design patient-specificSTI regimens.",http://arxiv.org/abs/q-bio/0504031v1,"Romulus Breban,Sally Blower"
3,"Efficient nonparametric inference on the effects of stochastic interventions under two-phase sampling, with applications to vaccine efficacy trials","The advent and subsequent widespread availability of preventive vaccines hasaltered the course of public health over the past century. Despite thissuccess, effective vaccines to prevent many high-burden diseases, includingHIV, have been slow to develop. Vaccine development can be aided by theidentification of immune response markers that serve as effective surrogatesfor clinically significant infection or disease endpoints. However, measuringimmune response marker activity is often costly, which has motivated the usageof two-phase sampling for immune response evaluation in clinical trials ofpreventive vaccines. In such trials, the measurement of immunological markersis performed on a subset of trial participants, where enrollment in this secondphase is potentially contingent on the observed study outcome and otherparticipant-level information. We propose nonparametric methodology forefficiently estimating a counterfactual parameter that quantifies the impact ofa given immune response marker on the subsequent probability of infection.Along the way, we fill in theoretical gaps pertaining to the asymptoticbehavior of nonparametric efficient estimators in the context of two-phasesampling, including a multiple robustness property enjoyed by our estimators.Techniques for constructing confidence intervals and hypothesis tests arepresented, and an open source software implementation of the methodology, thetxshift R package, is introduced. We illustrate the proposed techniques usingdata from a recent preventive HIV vaccine efficacy trial.",http://arxiv.org/abs/2003.13771v2,"Nima S. Hejazi,Mark J. van der Laan,Holly E. Janes,Peter B. Gilbert,David C. Benkeser"
4,"DEMO: Dose Exploration, Monitoring, and Optimization Using a Biological Mediator for Clinical Outcomes","Phase 1-2 designs provide a methodological advance over phase 1 designs fordose finding by using both clinical response and toxicity. A phase 1-2 trialstill may fail to select a truly optimal dose. because early response is not aperfect surrogate for long term therapeutic success. To address this problem, ageneralized phase 1-2 design first uses a phase 1-2 design's components toidentify a set of candidate doses, adaptively randomizes patients among thecandidates, and after longer follow up selects a dose to maximize long-termsuccess rate. In this paper, we extend this paradigm by proposing a design thatexploits an early treatment-related, real-valued biological outcome, such aspharmacodynamic activity or an immunological effect, that may act as a mediatorbetween dose and clinical outcomes, including tumor response, toxicity, andsurvival time. We assume multivariate dose-outcome models that include effectsappearing in causal pathways from dose to the clinical outcomes. Bayesian modelselection is used to identify and eliminate biologically inactive doses. At theend of the trial, a therapeutically optimal dose is chosen from the set ofdoses that are acceptably safe, clinically effective, and biologically activeto maximize restricted mean survival time. Results of a simulation study showthat the proposed design may provide substantial improvements over designs thatignore the biological variable.",http://arxiv.org/abs/2404.02120v1,"Cheng-Han Yang,Peter F. Thall,Ruitao Lin"
5,Unlocking Historical Clinical Trial Data with ALIGN: A Compositional Large Language Model System for Medical Coding,"The reuse of historical clinical trial data has significant potential toaccelerate medical research and drug development. However, interoperabilitychallenges, particularly with missing medical codes, hinders effective dataintegration across studies. While Large Language Models (LLMs) offer apromising solution for automated coding without labeled data, currentapproaches face challenges on complex coding tasks. We introduce ALIGN, a novelcompositional LLM-based system for automated, zero-shot medical coding. ALIGNfollows a three-step process: (1) diverse candidate code generation; (2)self-evaluation of codes and (3) confidence scoring and uncertainty estimationenabling human deferral to ensure reliability. We evaluate ALIGN on harmonizingmedication terms into Anatomical Therapeutic Chemical (ATC) and medical historyterms into Medical Dictionary for Regulatory Activities (MedDRA) codesextracted from 22 immunology trials. ALIGN outperformed the LLM baselines,while also providing capabilities for trustworthy deployment. For MedDRAcoding, ALIGN achieved high accuracy across all levels, matching RAG andexcelling at the most specific levels (87-90% for HLGT). For ATC coding, ALIGNdemonstrated superior performance, particularly at lower hierarchy levels (ATCLevel 4), with 72-73% overall accuracy and 86-89% accuracy for commonmedications, outperforming baselines by 7-22%. ALIGN's uncertainty-baseddeferral improved accuracy by 17% to 90% accuracy with 30% deferral, notablyenhancing performance on uncommon medications. ALIGN achieves thiscost-efficiently at \$0.0007 and \$0.02 per code for GPT-4o-mini and GPT-4o,reducing barriers to clinical adoption. ALIGN advances automated medical codingfor clinical trial data, contributing to enhanced data interoperability andreusability, positioning it as a promising tool to improve clinical researchand accelerate drug development.",http://arxiv.org/abs/2411.13163v1,"Nabeel Seedat,Caterina Tozzi,Andrea Hita Ardiaca,Mihaela van der Schaar,James Weatherall,Adam Taylor"
6,An immunological autobiography: my year as a COVID-19 vaccine trial participant,"I present here longitudinal evaluation of T and B cell immunity to SARS-CoV2and variants of concern (VOC) from a single subject (me) over an entire yearpost vaccination. After enrolling in the Moderna phase III clinical trial, Icollected my own biological samples pre- and post-immunization in the event ofbeing a recipient of the experimental vaccine. The evidence strongly supportsthe conclusion that I did not receive the placebo. The analysis is admittedlylimited to an n of 1, but the results fit well with data taken from publishedworks and represent one of the more comprehensive longitudinal evaluations ofvaccine-elicited immunity within a single individual yet to be undertaken.Though the data amount to a well-documented anecdote, given its granularity, itis not without its insights and may be of further use in directing futurelongitudinal studies that have actual statistical significance.",http://arxiv.org/abs/2111.01282v2,Ross M. Kedl
7,What Radio Waves Tell Us about Sleep,"The ability to assess sleep at home, capture sleep stages, and detect theoccurrence of apnea (without on-body sensors) simply by analyzing the radiowaves bouncing off people's bodies while they sleep is quite powerful. Such acapability would allow for longitudinal data collection in patients' homes,informing our understanding of sleep and its interaction with various diseasesand their therapeutic responses, both in clinical trials and routine care. Inthis article, we develop an advanced machine learning algorithm for passivelymonitoring sleep and nocturnal breathing from radio waves reflected off peoplewhile asleep. Validation results in comparison with the gold standard (i.e.,polysomnography) (n=849) demonstrate that the model captures the sleephypnogram (with an accuracy of 81% for 30-second epochs categorized into Wake,Light Sleep, Deep Sleep, or REM), detects sleep apnea (AUROC = 0.88), andmeasures the patient's Apnea-Hypopnea Index (ICC=0.95; 95% CI = [0.93, 0.97]).Notably, the model exhibits equitable performance across race, sex, and age.Moreover, the model uncovers informative interactions between sleep stages anda range of diseases including neurological, psychiatric, cardiovascular, andimmunological disorders. These findings not only hold promise for clinicalpractice and interventional trials but also underscore the significance ofsleep as a fundamental component in understanding and managing variousdiseases.",http://arxiv.org/abs/2405.11739v2,"Hao He,Chao Li,Wolfgang Ganglberger,Kaileigh Gallagher,Rumen Hristov,Michail Ouroutzoglou,Haoqi Sun,Jimeng Sun,Brandon Westover,Dina Katabi"
8,Distinguishing immunological and behavioral effects of vaccination,"The interpretation of vaccine efficacy estimands is subtle, even inrandomized trials designed to quantify immunological effects of vaccination. Inthis article, we introduce terminology to distinguish between different vaccineefficacy estimands and clarify their interpretations. This allows us toexplicitly consider immunological and behavioural effects of vaccination, andestablish that policy-relevant estimands can differ substantially from thosecommonly reported in vaccine trials. We further show that a conventionalvaccine trial allows identification and estimation of different vaccineestimands under plausible conditions, if one additional post-treatment variableis measured. Specifically, we utilize a ``belief variable'' that indicates thetreatment an individual believed they had received. The belief variable issimilar to ``blinding assessment'' variables that are occasionally collected inplacebo-controlled trials in other fields. We illustrate the relations betweenthe different estimands, and their practical relevance, in numerical examplesbased on an influenza vaccine trial.",http://arxiv.org/abs/2311.08335v1,"Mats Stensrud,Daniel Nevo,Uri Obolski"
9,"Panacea: A foundation model for clinical trial search, summarization, design, and recruitment","Clinical trials are fundamental in developing new drugs, medical devices, andtreatments. However, they are often time-consuming and have low success rates.Although there have been initial attempts to create large language models(LLMs) for clinical trial design and patient-trial matching, these modelsremain task-specific and not adaptable to diverse clinical trial tasks. Toaddress this challenge, we propose a clinical trial foundation model namedPanacea, designed to handle multiple tasks, including trial search, trialsummarization, trial design, and patient-trial matching. We also assemble alarge-scale dataset, named TrialAlign, of 793,279 trial documents and 1,113,207trial-related scientific papers, to infuse clinical knowledge into the model bypre-training. We further curate TrialInstruct, which has 200,866 of instructiondata for fine-tuning. These resources enable Panacea to be widely applicablefor a range of clinical trial tasks based on user requirements.  We evaluated Panacea on a new benchmark, named TrialPanorama, which coverseight clinical trial tasks. Our method performed the best on seven of the eighttasks compared to six cutting-edge generic or medicine-specific LLMs.Specifically, Panacea showed great potential to collaborate with human expertsin crafting the design of eligibility criteria, study arms, and outcomemeasures, in multi-round conversations. In addition, Panacea achieved 14.42%improvement in patient-trial matching, 41.78% to 52.02% improvement in trialsearch, and consistently ranked at the top for five aspects of trialsummarization. Our approach demonstrates the effectiveness of Panacea inclinical trials and establishes a comprehensive resource, including trainingdata, model, and benchmark, for developing clinical trial foundation models,paving the path for AI-based clinical trial development.",http://arxiv.org/abs/2407.11007v1,"Jiacheng Lin,Hanwen Xu,Zifeng Wang,Sheng Wang,Jimeng Sun"
