docid,source,sourcetype,target,targettype,type
0,Early Phase Clinical Trial,Topic,Phase I Trials,Topic,RELATED_TO
0,Phase I Trials,Topic,Cytotoxic Agents,Topic,RELATED_TO
0,Bayesian Early Phase Trial Designs,Topic,Early Phase Clinical Trial,Topic,DISCUSSES
0,Bayesian Early Phase Trial Designs,Topic,Peter F. Thall,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Tianyu Zhan,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Yiwang Zhou,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Ziqian Geng,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Yihua Gu,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Jian Kang,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Li Wang,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Xiaohong Huang,Author,AUTHORED
1,Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints,Paper,Elizabeth H. Slate,Author,AUTHORED
2,Pilot Studies Of Structured Treatment Interruptions (Sti) In Hiv Therapy,Topic,Hiv Therapy,Topic,RELATED_TO
2,Hiv Therapy,Topic,Virologic Failure,Topic,RELATED_TO
2,Novel Hypothesis,Topic,Virologic Failure,Topic,DISCUSSES
2,Mathematical Model Of Hiv Within-Host Viral Dynamics,Topic,Nonlinear Parametric Resonance,Topic,RELATED_TO
2,Nonlinear Parametric Resonance,Topic,Virologic Failure,Topic,DISCUSSES
2,Clinical Trial Data,Topic,Patient-Specific Resonant Spectra,Topic,RELATED_TO
2,Romulus Breban,Author,Parametric Resonance May Explain Virologic Failure To Hiv Treatment Interruptions,Paper,AUTHORED
2,Sally Blower,Author,Parametric Resonance May Explain Virologic Failure To Hiv Treatment Interruptions,Paper,AUTHORED
3,Preventive Vaccines,Topic,Hiv,Topic,RELATED_TO
3,Immune Response Markers,Topic,Preventive Vaccines,Topic,RELATED_TO
3,Two-Phase Sampling,Topic,Immune Response Markers,Topic,RELATED_TO
3,Txshift R Package,Topic,Two-Phase Sampling,Topic,RELATED_TO
3,Nima S. Hejazi,Author,Txshift R Package,Topic,AUTHORED
3,Mark J. Van Der Laan,Author,Txshift R Package,Topic,AUTHORED
3,Holly E. Janes,Author,Txshift R Package,Topic,AUTHORED
3,Peter B. Gilbert,Author,Txshift R Package,Topic,AUTHORED
3,David C. Benkeser,Author,Txshift R Package,Topic,AUTHORED
4,Demo,Paper,Cheng-Han Yang,Author,AUTHORED
4,Demo,Paper,Peter F. Thall,Author,AUTHORED
4,Demo,Paper,Ruitao Lin,Author,AUTHORED
5,Align,Topic,Large Language Models,Topic,RELATED_TO
5,Align,Topic,Anatomical Therapeutic Chemical,Topic,RELATED_TO
5,Align,Topic,Medical Dictionary For Regulatory Activities,Topic,RELATED_TO
5,Align,Topic,Clinical Trial Data,Topic,RELATED_TO
5,Align,Topic,Immunology Trials,Topic,RELATED_TO
5,Nabeel Seedat,Author,Align,Topic,AUTHORED
5,Caterina Tozzi,Author,Align,Topic,AUTHORED
5,Andrea Hita Ardiaca,Author,Align,Topic,AUTHORED
5,Mihaela Van Der Schaar,Author,Align,Topic,AUTHORED
5,James Weatherall,Author,Align,Topic,AUTHORED
5,Adam Taylor,Author,Align,Topic,AUTHORED
6,Ross M. Kedl,Author,An Immunological Autobiography,Paper,AUTHORED
6,An Immunological Autobiography,Paper,Sars-Cov2 And Variants Of Concern,Topic,DISCUSSES
6,An Immunological Autobiography,Paper,Moderna Phase Iii Clinical Trial,Topic,DISCUSSES
