docid|source|sourcetype|target|targettype|type
0|Early Phase Clinical Trial|Topic|Phase I Trials|Topic|RELATED_TO
0|Phase I Trials|Topic|Cytotoxic Agents|Topic|RELATED_TO
0|Bayesian Early Phase Trial Designs|Topic|Peter F. Thall|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Tianyu Zhan|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yiwang Zhou|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Ziqian Geng|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yihua Gu|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Jian Kang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Li Wang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Xiaohong Huang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Elizabeth H. Slate|Author|AUTHORED
2|Pilot Studies Of Structured Treatment Interruptions In Hiv Therapy|Topic|Hiv Therapy|Topic|RELATED_TO
2|Hiv Therapy|Topic|Virologic Failure|Topic|RELATED_TO
2|Novel Hypothesis|Topic|Virologic Failure|Topic|RELATED_TO
2|Mathematical Model Of Hiv Within-Host Viral Dynamics|Topic|Nonlinear Parametric Resonance|Topic|RELATED_TO
2|Nonlinear Parametric Resonance|Topic|Virologic Failure|Topic|RELATED_TO
2|Clinical Trial Data|Topic|Patient-Specific Resonant Spectra|Topic|RELATED_TO
2|Immunologic And Virologic Parameters|Topic|Patient-Specific Resonant Spectra|Topic|RELATED_TO
2|Romulus Breban|Author|Novel Hypothesis|Topic|AUTHORED
2|Sally Blower|Author|Novel Hypothesis|Topic|AUTHORED
3|Preventive Vaccines|Topic|Hiv|Topic|RELATED_TO
3|Immune Response Markers|Topic|Two-Phase Sampling|Topic|RELATED_TO
3|Two-Phase Sampling|Topic|Txshift R Package|Topic|RELATED_TO
3|Nima S. Hejazi|Author|Txshift R Package|Topic|AUTHORED
3|Mark J. Van Der Laan|Author|Txshift R Package|Topic|AUTHORED
3|Holly E. Janes|Author|Txshift R Package|Topic|AUTHORED
3|Peter B. Gilbert|Author|Txshift R Package|Topic|AUTHORED
3|David C. Benkeser|Author|Txshift R Package|Topic|AUTHORED
4|Phase 1-2 Designs|Topic|Generalized Phase 1-2 Design|Topic|RELATED_TO
4|Generalized Phase 1-2 Design|Topic|Biological Outcome|Topic|RELATED_TO
4|Biological Outcome|Topic|Therapeutically Optimal Dose|Topic|RELATED_TO
4|Simulation Study|Topic|Generalized Phase 1-2 Design|Topic|DISCUSSES
4|Cheng-Han Yang|Author|Generalized Phase 1-2 Design|Topic|AUTHORED
4|Peter F. Thall|Author|Generalized Phase 1-2 Design|Topic|AUTHORED
4|Ruitao Lin|Author|Generalized Phase 1-2 Design|Topic|AUTHORED
5|Align|Topic|Nabeel Seedat|Author|AUTHORED
5|Align|Topic|Caterina Tozzi|Author|AUTHORED
5|Align|Topic|Andrea Hita Ardiaca|Author|AUTHORED
5|Align|Topic|Mihaela Van Der Schaar|Author|AUTHORED
5|Align|Topic|James Weatherall|Author|AUTHORED
5|Align|Topic|Adam Taylor|Author|AUTHORED
5|Align|Topic|Large Language Models|Topic|RELATED_TO
5|Align|Topic|Anatomical Therapeutic Chemical|Topic|RELATED_TO
5|Align|Topic|Medical Dictionary For Regulatory Activities|Topic|RELATED_TO
6|Ross M. Kedl|Author|Sars-Cov2 And Variants Of Concern|Topic|DISCUSSES
6|Ross M. Kedl|Author|Moderna Phase Iii Clinical Trial|Topic|DISCUSSES
