docid|source|sourcetype|target|targettype|type
0|Bayesian Models And Decision Algorithms For Complex Early Phase Clinical Trials|Topic|Peter F. Thall|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Tianyu Zhan|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yiwang Zhou|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Ziqian Geng|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Yihua Gu|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Jian Kang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Li Wang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Xiaohong Huang|Author|AUTHORED
1|Deep Historical Borrowing Framework To Prospectively And Simultaneously Synthesize Control Information In Confirmatory Clinical Trials With Multiple Endpoints|Paper|Elizabeth H. Slate|Author|AUTHORED
2|Pilot Studies Of Structured Treatment Interruptions In Hiv Therapy|Topic|Hiv Therapy|Topic|RELATED_TO
2|Hiv Therapy|Topic|Virologic Failure|Topic|RELATED_TO
2|Novel Hypothesis|Topic|Virologic Failure|Topic|DISCUSSES
2|Mathematical Model Of Hiv Within-Host Viral Dynamics|Topic|Nonlinear Parametric Resonance|Topic|DISCUSSES
2|Clinical Trial Data|Topic|Patient-Specific Resonant Spectra|Topic|DISCUSSES
2|Immunologic And Virologic Parameters|Topic|Patient-Specific Resonant Spectra|Topic|DISCUSSES
2|Romulus Breban|Author|Novel Hypothesis|Topic|AUTHORED
2|Sally Blower|Author|Novel Hypothesis|Topic|AUTHORED
3|Two-Phase Sampling|Topic|Immune Response Markers|Topic|RELATED_TO
3|Preventive Vaccines|Topic|Hiv|Topic|RELATED_TO
3|Txshift R Package|Topic|Nima S. Hejazi|Author|AUTHORED
3|Txshift R Package|Topic|Mark J. Van Der Laan|Author|AUTHORED
3|Txshift R Package|Topic|Holly E. Janes|Author|AUTHORED
3|Txshift R Package|Topic|Peter B. Gilbert|Author|AUTHORED
3|Txshift R Package|Topic|David C. Benkeser|Author|AUTHORED
4|Phase 1-2 Designs|Topic|Dose Finding|Topic|RELATED_TO
4|Phase 1-2 Designs|Topic|Clinical Response|Topic|RELATED_TO
4|Phase 1-2 Designs|Topic|Toxicity|Topic|RELATED_TO
4|Generalized Phase 1-2 Design|Topic|Candidate Doses|Topic|RELATED_TO
4|Generalized Phase 1-2 Design|Topic|Patients|Topic|RELATED_TO
4|Generalized Phase 1-2 Design|Topic|Long-Term Success Rate|Topic|RELATED_TO
4|Biological Outcome|Topic|Pharmacodynamic Activity|Topic|RELATED_TO
4|Biological Outcome|Topic|Immunological Effect|Topic|RELATED_TO
4|Multivariate Dose-Outcome Models|Topic|Clinical Outcomes|Topic|RELATED_TO
4|Bayesian Model Selection|Topic|Biologically Inactive Doses|Topic|RELATED_TO
4|Therapeutically Optimal Dose|Topic|Restricted Mean Survival Time|Topic|RELATED_TO
4|Simulation Study|Topic|Proposed Design|Topic|RELATED_TO
4|Demo|Paper|Cheng-Han Yang|Author|AUTHORED
4|Demo|Paper|Peter F. Thall|Author|AUTHORED
4|Demo|Paper|Ruitao Lin|Author|AUTHORED
5|Randomized Controlled Trials|Topic|Intercurrent Events|Topic|DISCUSSES
5|Immunology Trials|Topic|Intercurrent Events|Topic|DISCUSSES
5|Treatment-Related Intercurrent Events|Topic|Composite Variable Strategy|Topic|DISCUSSES
5|Treatment-Unrelated Intercurrent Events|Topic|Hypothetical Strategy|Topic|DISCUSSES
5|Causal Estimand|Topic|Doubly Robust Estimators|Topic|DISCUSSES
5|Baricitinib|Topic|Systemic Lupus Erythematosus|Topic|RELATED_TO
5|Sizhu Lu|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
5|Yanyao Yi|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
5|Yongming Qu|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
5|Huayu Karen Liu|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
5|Ting Ye|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
5|Peng Ding|Author|Estimating Treatment Effects With Competing Intercurrent Events In Randomized Controlled Trials|Paper|AUTHORED
6|Align|Topic|Large Language Models|Topic|RELATED_TO
6|Align|Topic|Anatomical Therapeutic Chemical|Topic|RELATED_TO
6|Align|Topic|Medical Dictionary For Regulatory Activities|Topic|RELATED_TO
6|Nabeel Seedat|Author|Align|Topic|AUTHORED
6|Caterina Tozzi|Author|Align|Topic|AUTHORED
6|Andrea Hita Ardiaca|Author|Align|Topic|AUTHORED
6|Mihaela Van Der Schaar|Author|Align|Topic|AUTHORED
6|James Weatherall|Author|Align|Topic|AUTHORED
6|Adam Taylor|Author|Align|Topic|AUTHORED
7|Ross M. Kedl|Author|An Immunological Autobiography|Paper|AUTHORED
7|An Immunological Autobiography|Paper|Sars-Cov2|Topic|DISCUSSES
7|An Immunological Autobiography|Paper|Moderna Phase Iii Clinical Trial|Topic|DISCUSSES
7|An Immunological Autobiography|Paper|Covid-19 Vaccine Trial|Topic|DISCUSSES
7|An Immunological Autobiography|Paper|Longitudinal Evaluation Of T And B Cell Immunity|Topic|DISCUSSES
8|Sleep Monitoring Algorithm|Topic|Hao He|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Chao Li|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Wolfgang Ganglberger|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Kaileigh Gallagher|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Rumen Hristov|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Michail Ouroutzoglou|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Haoqi Sun|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Jimeng Sun|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Brandon Westover|Author|AUTHORED
8|Sleep Monitoring Algorithm|Topic|Dina Katabi|Author|AUTHORED
9|Vaccine Efficacy Estimands|Topic|Immunological Effects|Topic|RELATED_TO
9|Vaccine Efficacy Estimands|Topic|Behavioral Effects|Topic|RELATED_TO
9|Mats Stensrud|Author|Vaccine Efficacy Estimands|Topic|AUTHORED
9|Daniel Nevo|Author|Vaccine Efficacy Estimands|Topic|AUTHORED
9|Uri Obolski|Author|Vaccine Efficacy Estimands|Topic|AUTHORED
9|Influenza Vaccine Trial|Topic|Vaccine Efficacy Estimands|Topic|RELATED_TO
9|Belief Variable|Topic|Vaccine Efficacy Estimands|Topic|RELATED_TO
9|Blinding Assessment|Topic|Belief Variable|Topic|RELATED_TO
9|Vaccine Trials|Topic|Vaccine Efficacy Estimands|Topic|RELATED_TO
10|Panacea|Topic|Trialalign|Topic|RELATED_TO
10|Panacea|Topic|Trialinstruct|Topic|RELATED_TO
10|Panacea|Topic|Trialpanorama|Topic|RELATED_TO
10|Panacea|Topic|Jiacheng Lin|Author|AUTHORED
10|Panacea|Topic|Hanwen Xu|Author|AUTHORED
10|Panacea|Topic|Zifeng Wang|Author|AUTHORED
10|Panacea|Topic|Sheng Wang|Author|AUTHORED
10|Panacea|Topic|Jimeng Sun|Author|AUTHORED
11|Immune Correlates Of Protection|Topic|Correlates Of Risk|Topic|RELATED_TO
11|Correlates Of Risk|Topic|Controlled Vaccine Efficacy Curve|Topic|RELATED_TO
11|Controlled Vaccine Efficacy Curve|Topic|Controlled-Risk Curve|Topic|RELATED_TO
11|Controlled Vaccine Efficacy Curve|Topic|50% Neutralizing Antibody Titer|Topic|RELATED_TO
11|50% Neutralizing Antibody Titer|Topic|Virologically Confirmed Dengue|Topic|RELATED_TO
11|Cyd14|Paper|Peter B. Gilbert|Author|AUTHORED
11|Cyd14|Paper|Youyi Fong|Author|AUTHORED
11|Cyd14|Paper|Marco Carone|Author|AUTHORED
11|Cyd15|Paper|Peter B. Gilbert|Author|AUTHORED
11|Cyd15|Paper|Youyi Fong|Author|AUTHORED
11|Cyd15|Paper|Marco Carone|Author|AUTHORED
13|Trial2Vec|Topic|Zifeng Wang|Author|AUTHORED
13|Trial2Vec|Topic|Jimeng Sun|Author|AUTHORED
13|Trial2Vec|Topic|Clinical Trials|Topic|DISCUSSES
13|Trial2Vec|Topic|Umls Knowledge Base|Topic|RELATED_TO
14|Spot|Topic|Clinical Trials|Topic|RELATED_TO
14|Zifeng Wang|Author|Spot|Topic|AUTHORED
14|Cao Xiao|Author|Spot|Topic|AUTHORED
14|Jimeng Sun|Author|Spot|Topic|AUTHORED
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Matrix-Valued Time-Series Data Clustering|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Low-Dimensional Embedding|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Static Clinical Covariates|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|High-Dimensional Longitudinal Features|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Sparse And Irregular Nature Of Sample Collection|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Intensive Simulations|Topic|DISCUSSES
15|Smoothed Probabilistic Parafac Model With Covariates (Spaco)|Paper|Immunological Data Set From Patients With Sars-Cov-2 Infection|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|World Health Organization|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Hiv Treatment|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Resource-Limited Settings|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Clinical And Immunological Markers|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Cd4 Cell Counts|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Viral Load|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Diagnostic Algorithm|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Miriam Hospital Immunology Clinic|Topic|DISCUSSES
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Tao Liu|Author|AUTHORED
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Joseph W. Hogan|Author|AUTHORED
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Lisa Wang|Author|AUTHORED
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Shangxuan Zhang|Author|AUTHORED
16|Optimal Allocation Of Gold Standard Testing Under Constrained Availability: Application To Assessment Of Hiv Treatment Failure|Paper|Rami Kantor|Author|AUTHORED
17|Clinical Trials|Topic|Nlp|Topic|RELATED_TO
17|Eligibility Classification|Topic|Phase 3 Cancer Trials|Topic|RELATED_TO
17|Eligibility Classification|Topic|Non-Cancer Trials|Topic|RELATED_TO
17|Phase 3 Cancer Trials|Topic|Annotated Eligibility Criteria Dataset|Topic|RELATED_TO
17|Phase 1 And 2 Cancer Trials|Topic|Annotated Eligibility Criteria Dataset|Topic|RELATED_TO
