docid,title,summary,url,authors
0,Bayesian Models and Decision Algorithms for Complex Early Phase Clinical Trials,"An early phase clinical trial is the first step in evaluating the effects in
humans of a potential new anti-disease agent or combination of agents. Usually
called ""phase I"" or ""phase I/II"" trials, these experiments typically have the
nominal scientific goal of determining an acceptable dose, most often based on
adverse event probabilities. This arose from a tradition of phase I trials to
evaluate cytotoxic agents for treating cancer, although some methods may be
applied in other medical settings, such as treatment of stroke or immunological
diseases. Most modern statistical designs for early phase trials include
model-based, outcome-adaptive decision rules that choose doses for successive
patient cohorts based on data from previous patients in the trial. Such designs
have seen limited use in clinical practice, however, due to their complexity,
the requirement of intensive, computer-based data monitoring, and the medical
community's resistance to change. Still, many actual applications of
model-based outcome-adaptive designs have been remarkably successful in terms
of both patient benefit and scientific outcome. In this paper I will review
several Bayesian early phase trial designs that were tailored to accommodate
specific complexities of the treatment regime and patient outcomes in
particular clinical settings.",http://arxiv.org/abs/1011.6494v1,Peter F Thall
1,Deep Historical Borrowing Framework to Prospectively and Simultaneously Synthesize Control Information in Confirmatory Clinical Trials with Multiple Endpoints,"In current clinical trial development, historical information is receiving
more attention as it provides utility beyond sample size calculation.
Meta-analytic-predictive (MAP) priors and robust MAP priors have been proposed
for prospectively borrowing historical data on a single endpoint. To
simultaneously synthesize control information from multiple endpoints in
confirmatory clinical trials, we propose to approximate posterior probabilities
from a Bayesian hierarchical model and estimate critical values by deep
learning to construct pre-specified strategies for hypothesis testing. This
feature is important to ensure study integrity by establishing prospective
decision functions before the trial conduct. Simulations are performed to show
that our method properly controls family-wise error rate (FWER) and preserves
power as compared with a typical practice of choosing constant critical values
given a subset of null space. Satisfactory performance under prior-data
conflict is also demonstrated. We further illustrate our method using a case
study in Immunology.",http://arxiv.org/abs/2008.12774v2,"Tianyu Zhan, Yiwang Zhou, Ziqian Geng, Yihua Gu, Jian Kang, Li Wang, Xiaohong Huang, Elizabeth H Slate"
2,Parametric Resonance May Explain Virologic Failure to HIV Treatment Interruptions,"Pilot studies of structured treatment interruptions (STI) in HIV therapy have
shown that patients can maintain low viral loads whilst benefiting from reduced
treatment toxicity. However, a recent STI clinical trial reported a high degree
of virologic failure. Here we present a novel hypothesis that could explain
virologic failure to STI and provides new insights of great clinical relevance.
We analyze a classic mathematical model of HIV within-host viral dynamics and
find that nonlinear parametric resonance occurs when STI are added to the
model; resonance is observed as virologic failure. We use the model to simulate
clinical trial data and to calculate patient-specific resonant spectra. We gain
two important insights. Firstly, within an STI trial, we determine that
patients who begin with similar viral loads can be expected to show extremely
different virologic responses as a result of resonance. Thus, high
heterogeneity of patient response within a STI clinical trial is to be
expected. Secondly and more importantly, we determine that virologic failure is
not simply due to STI or patient characteristics; rather it is the result of a
complex dynamic interaction between STI and patient viral dynamics. Hence, our
analyses demonstrate that no universal regimen with periodic interruptions will
be effective for all patients. On the basis of our results, we suggest that
immunologic and virologic parameters should be used to design patient-specific
STI regimens.",http://arxiv.org/abs/q-bio/0504031v1,"Romulus Breban, Sally Blower"
3,"Efficient nonparametric inference on the effects of stochastic interventions under two-phase sampling, with applications to vaccine efficacy trials","The advent and subsequent widespread availability of preventive vaccines has
altered the course of public health over the past century. Despite this
success, effective vaccines to prevent many high-burden diseases, including
HIV, have been slow to develop. Vaccine development can be aided by the
identification of immune response markers that serve as effective surrogates
for clinically significant infection or disease endpoints. However, measuring
immune response marker activity is often costly, which has motivated the usage
of two-phase sampling for immune response evaluation in clinical trials of
preventive vaccines. In such trials, the measurement of immunological markers
is performed on a subset of trial participants, where enrollment in this second
phase is potentially contingent on the observed study outcome and other
participant-level information. We propose nonparametric methodology for
efficiently estimating a counterfactual parameter that quantifies the impact of
a given immune response marker on the subsequent probability of infection.
Along the way, we fill in theoretical gaps pertaining to the asymptotic
behavior of nonparametric efficient estimators in the context of two-phase
sampling, including a multiple robustness property enjoyed by our estimators.
Techniques for constructing confidence intervals and hypothesis tests are
presented, and an open source software implementation of the methodology, the
txshift R package, is introduced. We illustrate the proposed techniques using
data from a recent preventive HIV vaccine efficacy trial.",http://arxiv.org/abs/2003.13771v2,"Nima S Hejazi, Mark J van der Laan, Holly E Janes, Peter B Gilbert, David C Benkeser"
4,"DEMO: Dose Exploration, Monitoring, and Optimization Using a Biological Mediator for Clinical Outcomes","Phase 1-2 designs provide a methodological advance over phase 1 designs for
dose finding by using both clinical response and toxicity. A phase 1-2 trial
still may fail to select a truly optimal dose. because early response is not a
perfect surrogate for long term therapeutic success. To address this problem, a
generalized phase 1-2 design first uses a phase 1-2 design's components to
identify a set of candidate doses, adaptively randomizes patients among the
candidates, and after longer follow up selects a dose to maximize long-term
success rate. In this paper, we extend this paradigm by proposing a design that
exploits an early treatment-related, real-valued biological outcome, such as
pharmacodynamic activity or an immunological effect, that may act as a mediator
between dose and clinical outcomes, including tumor response, toxicity, and
survival time. We assume multivariate dose-outcome models that include effects
appearing in causal pathways from dose to the clinical outcomes. Bayesian model
selection is used to identify and eliminate biologically inactive doses. At the
end of the trial, a therapeutically optimal dose is chosen from the set of
doses that are acceptably safe, clinically effective, and biologically active
to maximize restricted mean survival time. Results of a simulation study show
that the proposed design may provide substantial improvements over designs that
ignore the biological variable.",http://arxiv.org/abs/2404.02120v1,"ChengHan Yang, Peter F Thall, Ruitao Lin"
5,Estimating treatment effects with competing intercurrent events in randomized controlled trials,"The analysis of randomized controlled trials is often complicated by
intercurrent events--events that occur after treatment initiation and may
impact outcome assessment. These events may lead to patients discontinuing
their assigned treatment or dropping out of the trial entirely. In an analysis
of data from two recent immunology trials, we categorize intercurrent events
into two broad types: those unrelated to treatment (e.g., withdrawal from the
study due to external factors like pandemics or relocation) and those related
to treatment (e.g., adverse events or lack of efficacy). We adopt distinct
strategies to handle each type, aiming to target a clinically more relevant
estimand. For treatment-related intercurrent events, they often meaningfully
describe the patient's outcome, we employ a composite variable strategy, where
we attribute an outcome value that reflects the lack of treatment success. For
treatment-unrelated intercurrent events, we adopt a hypothetical strategy that
assumes these event times are conditionally independent of the outcome, given
treatment and covariates, and envisions a scenario in which the intercurrent
events do not occur. We establish the nonparametric identification and
semiparametric estimation theory for the causal estimand and introduce doubly
robust estimators. We illustrate our methods through the re-analysis of two
randomized trials on baricitinib for Systemic Lupus Erythematosus. We classify
intercurrent events, apply four estimators, and compare our approach with
common ad-hoc methods, highlighting the robustness and practical implications
of our framework.",http://arxiv.org/abs/2503.03049v1,"Sizhu Lu, Yanyao Yi, Yongming Qu, Huayu Karen Liu, Ting Ye, Peng Ding"
6,Unlocking Historical Clinical Trial Data with ALIGN: A Compositional Large Language Model System for Medical Coding,"The reuse of historical clinical trial data has significant potential to
accelerate medical research and drug development. However, interoperability
challenges, particularly with missing medical codes, hinders effective data
integration across studies. While Large Language Models (LLMs) offer a
promising solution for automated coding without labeled data, current
approaches face challenges on complex coding tasks. We introduce ALIGN, a novel
compositional LLM-based system for automated, zero-shot medical coding. ALIGN
follows a three-step process: (1) diverse candidate code generation; (2)
self-evaluation of codes and (3) confidence scoring and uncertainty estimation
enabling human deferral to ensure reliability. We evaluate ALIGN on harmonizing
medication terms into Anatomical Therapeutic Chemical (ATC) and medical history
terms into Medical Dictionary for Regulatory Activities (MedDRA) codes
extracted from 22 immunology trials. ALIGN outperformed the LLM baselines,
while also providing capabilities for trustworthy deployment. For MedDRA
coding, ALIGN achieved high accuracy across all levels, matching RAG and
excelling at the most specific levels (87-90% for HLGT). For ATC coding, ALIGN
demonstrated superior performance, particularly at lower hierarchy levels (ATC
Level 4), with 72-73% overall accuracy and 86-89% accuracy for common
medications, outperforming baselines by 7-22%. ALIGN's uncertainty-based
deferral improved accuracy by 17% to 90% accuracy with 30% deferral, notably
enhancing performance on uncommon medications. ALIGN achieves this
cost-efficiently at \$0.0007 and \$0.02 per code for GPT-4o-mini and GPT-4o,
reducing barriers to clinical adoption. ALIGN advances automated medical coding
for clinical trial data, contributing to enhanced data interoperability and
reusability, positioning it as a promising tool to improve clinical research
and accelerate drug development.",http://arxiv.org/abs/2411.13163v1,"Nabeel Seedat, Caterina Tozzi, Andrea Hita Ardiaca, Mihaela van der Schaar, James Weatherall, Adam Taylor"
7,An immunological autobiography: my year as a COVID-19 vaccine trial participant,"I present here longitudinal evaluation of T and B cell immunity to SARS-CoV2
and variants of concern (VOC) from a single subject (me) over an entire year
post vaccination. After enrolling in the Moderna phase III clinical trial, I
collected my own biological samples pre- and post-immunization in the event of
being a recipient of the experimental vaccine. The evidence strongly supports
the conclusion that I did not receive the placebo. The analysis is admittedly
limited to an n of 1, but the results fit well with data taken from published
works and represent one of the more comprehensive longitudinal evaluations of
vaccine-elicited immunity within a single individual yet to be undertaken.
Though the data amount to a well-documented anecdote, given its granularity, it
is not without its insights and may be of further use in directing future
longitudinal studies that have actual statistical significance.",http://arxiv.org/abs/2111.01282v2,Ross M Kedl
8,What Radio Waves Tell Us about Sleep,"The ability to assess sleep at home, capture sleep stages, and detect the
occurrence of apnea (without on-body sensors) simply by analyzing the radio
waves bouncing off people's bodies while they sleep is quite powerful. Such a
capability would allow for longitudinal data collection in patients' homes,
informing our understanding of sleep and its interaction with various diseases
and their therapeutic responses, both in clinical trials and routine care. In
this article, we develop an advanced machine learning algorithm for passively
monitoring sleep and nocturnal breathing from radio waves reflected off people
while asleep. Validation results in comparison with the gold standard (i.e.,
polysomnography) (n=849) demonstrate that the model captures the sleep
hypnogram (with an accuracy of 81% for 30-second epochs categorized into Wake,
Light Sleep, Deep Sleep, or REM), detects sleep apnea (AUROC = 0.88), and
measures the patient's Apnea-Hypopnea Index (ICC=0.95; 95% CI = [0.93, 0.97]).
Notably, the model exhibits equitable performance across race, sex, and age.
Moreover, the model uncovers informative interactions between sleep stages and
a range of diseases including neurological, psychiatric, cardiovascular, and
immunological disorders. These findings not only hold promise for clinical
practice and interventional trials but also underscore the significance of
sleep as a fundamental component in understanding and managing various
diseases.",http://arxiv.org/abs/2405.11739v2,"Hao He, Chao Li, Wolfgang Ganglberger, Kaileigh Gallagher, Rumen Hristov, Michail Ouroutzoglou, Haoqi Sun, Jimeng Sun, Brandon Westover, Dina Katabi"
9,Distinguishing immunological and behavioral effects of vaccination,"The interpretation of vaccine efficacy estimands is subtle, even in
randomized trials designed to quantify immunological effects of vaccination. In
this article, we introduce terminology to distinguish between different vaccine
efficacy estimands and clarify their interpretations. This allows us to
explicitly consider immunological and behavioural effects of vaccination, and
establish that policy-relevant estimands can differ substantially from those
commonly reported in vaccine trials. We further show that a conventional
vaccine trial allows identification and estimation of different vaccine
estimands under plausible conditions, if one additional post-treatment variable
is measured. Specifically, we utilize a ``belief variable'' that indicates the
treatment an individual believed they had received. The belief variable is
similar to ``blinding assessment'' variables that are occasionally collected in
placebo-controlled trials in other fields. We illustrate the relations between
the different estimands, and their practical relevance, in numerical examples
based on an influenza vaccine trial.",http://arxiv.org/abs/2311.08335v1,"Mats Stensrud, Daniel Nevo, Uri Obolski"
