docid,source,sourcetype,target,targettype,type
0,Retrieval-Augmented Generation (Rag),Topic,Graphrag,Topic,RELATED_TO
0,Graphrag,Topic,Question Answering,Topic,RELATED_TO
0,Graphrag,Topic,Query-Based Summarization,Topic,RELATED_TO
0,Haoyu Han,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Harry Shomer,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Yu Wang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Yongjia Lei,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Kai Guo,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Zhigang Hua,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Bo Long,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Hui Liu,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
0,Jiliang Tang,Author,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper,AUTHORED
1,Graphrag-Fi,Topic,Graphrag,Topic,COVERS
1,Graphrag-Fi,Topic,Graphrag-Filtering,Topic,INCLUDES
1,Graphrag-Fi,Topic,Graphrag-Integration,Topic,INCLUDES
1,Graphrag,Topic,Large Language Models,Topic,RELATED_TO
1,Large Language Models,Topic,Natural Language Processing,Topic,RELATED_TO
1,Graphrag-Filtering,Topic,Noisy And Irrelevant Information,Topic,RELATED_TO
1,Graphrag-Integration,Topic,External Knowledge,Topic,RELATED_TO
1,Graphrag-Integration,Topic,Intrinsic Reasoning,Topic,RELATED_TO
1,Graphrag-Fi,Topic,Knowledge Graph Qa Tasks,Topic,RELATED_TO
1,Knowledge Graph Qa Tasks,Topic,Reasoning Performance,Topic,RELATED_TO
1,Kai Guo,Author,Graphrag-Fi,Topic,AUTHORED
1,Harry Shomer,Author,Graphrag-Fi,Topic,AUTHORED
1,Shenglai Zeng,Author,Graphrag-Fi,Topic,AUTHORED
1,Haoyu Han,Author,Graphrag-Fi,Topic,AUTHORED
1,Yu Wang,Author,Graphrag-Fi,Topic,AUTHORED
1,Jiliang Tang,Author,Graphrag-Fi,Topic,AUTHORED
2,Graphrag,Topic,Gragpoison,Topic,RELATED_TO
2,Gragpoison,Topic,Jiacheng Liang,Author,AUTHORED
2,Gragpoison,Topic,Yuhui Wang,Author,AUTHORED
2,Gragpoison,Topic,Changjiang Li,Author,AUTHORED
2,Gragpoison,Topic,Rongyi Zhu,Author,AUTHORED
2,Gragpoison,Topic,Tanqiu Jiang,Author,AUTHORED
2,Gragpoison,Topic,Neil Gong,Author,AUTHORED
2,Gragpoison,Topic,Ting Wang,Author,AUTHORED
3,Large Language Models (Llms),Topic,Retrieval-Augmented Generation (Rag),Topic,RELATED_TO
3,Retrieval-Augmented Generation (Rag),Topic,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,RELATED_TO
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Qinggang Zhang,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Shengyuan Chen,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Yuanchen Bei,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zheng Yuan,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Huachi Zhou,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Zijin Hong,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Junnan Dong,Author,AUTHORED
3,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic,Hao Chen,Author,AUTHORED
